Product_Name,Pricing,Ratings
"SAMSUNG Galaxy F41 (Fusion Black, 128 GB)","16,499",4.3
"SAMSUNG Galaxy F41 (Fusion Blue, 128 GB)","16,499",4.3
"SAMSUNG Galaxy F41 (Fusion Green, 128 GB)","16,499",4.3
SAMSUNG Guru 1200,"1,150",4.3
"SAMSUNG Galaxy F41 (Fusion Black, 64 GB)","15,999",4.3
"SAMSUNG Galaxy F41 (Fusion Green, 64 GB)","15,999",4.3
SAMSUNG Guru Music 2,"1,710",4.3
SAMSUNG Guru 1200,"1,350",4.3
SAMSUNG Guru 1200,"1,323",4.3
"SAMSUNG M02s (Blue, 64 GB)","10,340",4.1
SAMSUNG Guru FM Plus SM-B110E/D,"1,449",4.3
SAMSUNG Guru Music 2,"1,710",4.3
SAMSUNG Guru Music 2,"1,710",4.3
"SAMSUNG Galaxy A32 (Awesome Black, 128 GB)","21,999",4.7
"SAMSUNG Galaxy M01 (Black, 32 GB)","7,899",4.2
"SAMSUNG Galaxy A21s (Blue, 64 GB)","13,999",4.2
"SAMSUNG Galaxy A21s (Black, 64 GB)","13,999",4.2
SAMSUNG Guru FM Plus SM-B110E/D,"1,449",4.3
"SAMSUNG Galaxy A32 (Awesome Blue, 128 GB)","21,999",4.7
"SAMSUNG Galaxy A21s (White, 64 GB)","13,999",4.2
SAMSUNG Guru FM Plus SM-B110E/D,"1,449",4.3
"SAMSUNG M01 core (Blue, 32 GB)","6,199",3.9
SAMSUNG Guru 1200,"1,370",4.3
"SAMSUNG Galaxy A12 (Black, 128 GB)","13,999",4.3
